ICDId;ICDCode;ICDName;ICDNameTranslated
1;A00;Kolera;Cholera
2;A00.0;Kolera, Vibrio cholorea 01, biovar kolera’ya bağlı;Cholera, Vibrio cholorine 01, biovar depends on cholera
3;A00.1;Kolera, Vibrio cholerae 01, biovar eltor’a bağlı;Cholera, Vibrio cholerae 01, biovar dependent eltor
4;A00.9;Kolera, tanımlanmamış;Cholera, unspecified
5;A01;Tifo ve paratifo;Typhoid and paratyphoid
6;A01.0;Tifo;Typhoid
7;A01.1;Paratifo A;Paratyphi a
8;A01.2;Paratifo B;Paratyphi B
9;A01.3;Paratifo C;paratyphoid C
10;A01.4;Paratifo, tanımlanmamış;Paratyphoid fever, unspecified
11;A02;Salmonella enfeksiyonları, diğer;Salmonella infection, other
12;A02.0;Salmonella enteriti;Salmonella enteritis
13;A02.1;Salmonella septisemisi;Salmonella septicemia
14;A02.2;Salmonella enfeksiyonları, lokalize;Salmonella infection, localized
15;A02.8;Salmonella enfeksiyonları, diğer tanımlanmış;Salmonella infections, other specified
16;A02.9;Salmonella enfeksiyonu, tanımlanmamış;Salmonella infection, unspecified
17;A03;Şigelloz;shigellosis
18;A03.0;Şigelloz, Shigella dysenteriae’ye bağlı;Shigellosis Shigella dysenteriae connected
19;A03.1;Şigelloz, Shigella flexneri’ye bağlı;Shigellosis Shigella flexneri bound
20;A03.2;Şigelloz, Shigella boydii’ye bağlı;Shigellosis Shigella boydii substituted
21;A03.3;Şigelloz, Shigella sonnei’ye bağlı;Shigellosis Shigella Sonnek substituted
22;A03.8;Şigellozlar, diğer;Shigellosis, other
23;A03.9;Şigelloz, tanımlanmamış;Shigellosis, unspecified
24;A04;Bakteriyel barsak enfeksiyonları, diğer;Bacterial intestinal infections, other
25;A04.0;Enteropatojenik Escherichia coli enfeksiyonu;Enteropathogenic Escherichia coli infection
26;A04.1;Enterotoksijenik Escherichia coli enfeksiyonu;Enterotoxigenic Escherichia coli infection
27;A04.2;Enteroinvaziv Escherichia coli enfeksiyonu;Enteroinvasive Escherichia coli infection
28;A04.3;Enterohemorajik Escherichia coli enfeksiyonu;Enterohaemorrhagic Escherichia coli infection
29;A04.4;Barsak Escherichia coli enfeksiyonları diğer;Other intestinal Escherichia coli infections
30;A04.5;Kampilobakter enteriti;Campylobacter enteritis
31;A04.6;Yersinia enterocolitica’ya bağlı enterit;Enteritis due to Yersinia enterocolitica
32;A04.7;Clostridium difficile’ye bağlı enterokolit;Clostridium difficile-associated enterocolitis
33;A04.8;Bakteriyel Barsak enfeksiyonları, diğer tanımlanmış;Bacterial intestinal infections, other specified
34;A04.9;Bakteriyel barsak enfeksiyonu, tanımlanmamış;Bacterial intestinal infection, unspecified
35;A05;Bakteriyel gıda zehirlenmeleri, diğer;Bacterial food poisoning, other
36;A05.0;Gıda kökenli stafilokok zehirlenmesi;acquired staphylococcal food poisoning
37;A05.1;Botulizm;Botulism
38;A05.2;Gıda kökenli Clostridium perfringens [Clostridium welchii] zehirlenmesi;Foodborne Clostridium perfringens [Clostridium Welch] poisoning
39;A05.3;Gıda kökenli Vibrio parahaemolyticus zehirlenmesi;Foodborne Vibrio parahaemolyticus intoxication
40;A05.4;Gıda kökenli Bacillus cereus zehirlenmesi;origin of Bacillus cereus food poisoning
41;A05.8;Gıda zehirlenmeleri, diğer tanımlanmış;Food poisoning, other specified
42;A05.9;Bakteriyel gıda zehirlenmesi, tanımlanmamış;Bacterial food poisoning, unspecified
43;A06;Amebiyaz;amebiasis
44;A06.0;Akut amipli dizanteri;Acute amoebic dysentery
45;A06.1;Kronik barsak amebiyazı;Chronic intestinal amebiasis of
46;A06.2;Dizanterik olmayan amipli kolit;Non-dysenteric amoebic colitis
